,Timestamp,Unnamed: 0,NO2_µg_m3,Humidity,Temperature,Precipitation,NO_µg_m3,WindSpeed_m_s,Location,Latitude,Longitude,Elevation_m
0,2/1/20 0:00,11.5,50.9,88.1,7.9,0,100.1,1.8,"Codogno, Italy",45.1667,9.7,58
1,2/1/20 1:00,35.5,49.9,88.9,8,0,104.3,2,"Codogno, Italy",45.1667,9.7,58
2,2/1/20 2:00,59.5,47.1,92.5,7.6,0,107,1.7,"Codogno, Italy",45.1667,9.7,58
3,2/1/20 3:00,83.5,44.1,94,7.6,0,100.5,1.7,"Codogno, Italy",45.1667,9.7,58
4,2/1/20 4:00,107.5,39.9,94.2,7.5,0,78.8,1.6,"Codogno, Italy",45.1667,9.7,58
5,2/1/20 5:00,131.5,41.1,92.9,7.6,0,78.6,2.2,"Codogno, Italy",45.1667,9.7,58
6,2/1/20 6:00,155.5,39.9,92.6,7.6,0,80.9,2.7,"Codogno, Italy",45.1667,9.7,58
7,2/1/20 7:00,179.5,41.8,91.8,7.6,0,94.5,1.2,"Codogno, Italy",45.1667,9.7,58
8,2/1/20 8:00,203.5,51.3,92.5,7.5,0,122.6,1.3,"Codogno, Italy",45.1667,9.7,58
9,2/1/20 9:00,227.5,51.3,93,7.5,0.2,131.2,1.2,"Codogno, Italy",45.1667,9.7,58
10,2/1/20 10:00,251.5,50.1,98.2,7.4,0.6,132.5,0.8,"Codogno, Italy",45.1667,9.7,58
11,2/1/20 11:00,275.5,44.1,99.3,7.3,0,102.3,1.9,"Codogno, Italy",45.1667,9.7,58
12,2/1/20 12:00,299.5,44.2,99.3,7.6,0.2,114.9,1.8,"Codogno, Italy",45.1667,9.7,58
13,2/1/20 13:00,323.5,37.2,99.2,8,0,70.1,3,"Codogno, Italy",45.1667,9.7,58
14,2/1/20 14:00,347.5,36.7,99.3,8.4,0,87.7,3.2,"Codogno, Italy",45.1667,9.7,58
15,2/1/20 15:00,371.5,36,99.3,8.8,0,83.8,2.8,"Codogno, Italy",45.1667,9.7,58
